Season,Slot,Strongseed,Weakseed,Round,matchup,Oteam_x,Oteam_y,StrongTeam_Name,WeakTeam_Name,Wteam_Name,Lteam_Name
2015,R1W1,W01,W16,R1,1248_1437,1437,1437,Villanova,Lafayette,Villanova,Lafayette
2015,R2W1,R1W1,R1W8,R2,1301_1437,1301,1437,Villanova,NC State,Villanova,NC State
2015,R4W1,R3W1,R3W2,R4,1257_1277,1277,1438,Louisville,Michigan St,Villanova,Virginia
2015,R3W1,R2W1,R2W4,R3,1257_1301,1257,1437,NC State,Louisville,Villanova,Louisville
2015,R1W2,W02,W15,R1,1125_1438,1438,1438,Virginia,Belmont,Virginia,Belmont
2015,R2W2,R1W2,R1W7,R2,1277_1438,1277,1438,Virginia,Michigan St,Virginia,Michigan St
2015,R3W2,R2W2,R2W3,R3,1277_1328,1277,1438,Michigan St,Oklahoma,Virginia,Oklahoma
2015,R5WX,R4W1,R4X1,R5,1181_1277,1181,1181,Michigan St,Duke,Virginia,Duke
2015,R1W3,W03,W14,R1,1107_1328,1328,1328,Oklahoma,Albany NY,Oklahoma,Albany NY
2015,R2W3,R1W3,R1W6,R2,1173_1328,1328,1328,Oklahoma,Dayton,Oklahoma,Providence
2015,R1W6,W06,W11,R1,1173_1344,1173,1344,Providence,Dayton,Providence,Dayton
2015,R1W4,W04,W13,R1,1257_1414,1257,1257,Louisville,UC Irvine,Louisville,UC Irvine
2015,R2W4,R1W4,R1W5,R2,1257_1320,1257,1257,Louisville,Northern Iowa,Louisville,Northern Iowa
2015,R1W5,W05,W12,R1,1320_1461,1320,1320,Northern Iowa,Wyoming,Northern Iowa,Wyoming
2015,R1W7,W07,W10,R1,1208_1277,1277,1277,Michigan St,Georgia,Michigan St,Georgia
2015,R1W8,W08,W09,R1,1261_1301,1301,1301,NC State,LSU,NC State,LSU
2015,R1X1,X01,X16,R1,1181_1352,1181,1181,Duke,Robert Morris,Duke,Robert Morris
2015,R2X1,R1X1,R1X8,R2,1181_1361,1181,1181,Duke,San Diego St,Duke,San Diego St
2015,R3X1,R2X1,R2X4,R3,1181_1428,1181,1181,Duke,Utah,Duke,Georgetown
2015,R4X1,R3X1,R3X2,R4,1181_1211,1181,1181,Duke,Gonzaga,Duke,Gonzaga
2015,R6CH,R5WX,R5YZ,R6,1181_1458,1181,1246,Duke,Wisconsin,Duke,Kentucky
2015,R2X4,R1X4,R1X5,R2,1207_1428,1428,1207,Georgetown,Utah,Georgetown,Utah
2015,R1X4,X04,X13,R1,1186_1207,1207,1207,Georgetown,E Washington,Georgetown,E Washington
2015,R5YZ,R4Y1,R4Z1,R5,1246_1458,1458,1246,Kentucky,Wisconsin,Kentucky,Wisconsin
2015,R1Y1,Y01,Y16,R1,1214_1246,1246,1246,Kentucky,Hampton,Kentucky,Hampton
2015,R2Y1,R1Y1,R1Y8,R2,1153_1246,1246,1246,Kentucky,Cincinnati,Kentucky,Cincinnati
2015,R3Y1,R2Y1,R2Y4,R3,1246_1452,1246,1246,Kentucky,West Virginia,Kentucky,Maryland
2015,R4Y1,R3Y1,R3Y2,R4,1246_1323,1246,1246,Kentucky,Notre Dame,Kentucky,Kansas
2015,R1X2,X02,X15,R1,1211_1295,1211,1211,Gonzaga,N Dakota St,Gonzaga,N Dakota St
2015,R2X2,R1X2,R1X7,R2,1211_1234,1211,1211,Gonzaga,Iowa,Gonzaga,Iowa
2015,R3X2,R2X2,R2X3,R3,1211_1417,1211,1211,Gonzaga,UCLA,Gonzaga,Iowa St
2015,R1X6,X06,X11,R1,1374_1417,1417,1374,SMU,UCLA,SMU,UCLA
2015,R2X3,R1X3,R1X6,R2,1412_1417,1417,1235,UAB,UCLA,Iowa St,SMU
2015,R1X3,X03,X14,R1,1235_1412,1412,1235,Iowa St,UAB,Iowa St,UAB
2015,R1X5,X05,X12,R1,1372_1428,1428,1428,Utah,SF Austin,Utah,SF Austin
2015,R1X7,X07,X10,R1,1172_1234,1234,1234,Iowa,Davidson,Iowa,Davidson
2015,R1X8,X08,X09,R1,1361_1385,1361,1361,San Diego St,St John's,San Diego St,St John's
2015,R2Y4,R1Y4,R1Y5,R2,1268_1452,1452,1268,Maryland,West Virginia,Maryland,West Virginia
2015,R1Y4,Y04,Y13,R1,1268_1434,1268,1268,Maryland,Valparaiso,Maryland,Valparaiso
2015,R3Y2,R2Y2,R2Y3,R3,1323_1455,1323,1242,Wichita St,Notre Dame,Kansas,Notre Dame
2015,R1Y2,Y02,Y15,R1,1242_1308,1242,1242,Kansas,New Mexico St,Kansas,New Mexico St
2015,R2Y2,R1Y2,R1Y7,R2,1242_1455,1455,1242,Kansas,Wichita St,Kansas,Wichita St
